id_x,songName,artistName_x,id_y,artistName_y
lyr_00002,Move,Arcade Fire,sgd_011795,Little Mix
lyr_00007,Milk And Honey,Arcade Fire,sgd_045642,Nick Drake
lyr_00009,Prologue,Arcade Fire,sgd_000821,Arlo Guthrie
lyr_00009,Prologue,Arcade Fire,sgd_010122,Kate Bush
lyr_00009,Prologue,Arcade Fire,sgd_012428,Marianne Faithfull
lyr_00009,Prologue,Arcade Fire,sgd_038674,Joseph And The Amazing Technicolor Dreamcoat
lyr_00033,Joan Of Arc,Arcade Fire,sgd_036212,Horrible Histories
lyr_00033,Joan Of Arc,Arcade Fire,sgd_042535,Madonna
lyr_00033,Joan Of Arc,Arcade Fire,sgd_046848,Omd
lyr_00038,Afterlife,Arcade Fire,sgd_008492,Ingrid Michaelson
lyr_00038,Afterlife,Arcade Fire,sgd_030522,Dream Theater
lyr_00044,You Already Know,Arcade Fire,sgd_054016,Train
lyr_00049,Games Without Frontiers,Arcade Fire,sgd_010112,Kate Bush
lyr_00049,Games Without Frontiers,Arcade Fire,sgd_015890,Peter Gabriel
lyr_00051,Old Flame,Arcade Fire,sgd_023200,Alabama
lyr_00051,Old Flame,Arcade Fire,sgd_053066,Thin Lizzy
lyr_00071,Empty Room,Arcade Fire,sgd_016411,Prince
lyr_00093,Wake Up,Arcade Fire,sgd_010765,Kirk Franklin
lyr_00093,Wake Up,Arcade Fire,sgd_010926,Korn
lyr_00093,Wake Up,Arcade Fire,sgd_014509,Notorious B.I.G.
lyr_00093,Wake Up,Arcade Fire,sgd_022180,Yoko Ono
lyr_00093,Wake Up,Arcade Fire,sgd_036185,Hooverphonic
lyr_00093,Wake Up,Arcade Fire,sgd_046626,Oingo Boingo
lyr_09546,Wake Up,The Doors,sgd_010765,Kirk Franklin
lyr_09546,Wake Up,The Doors,sgd_010926,Korn
lyr_09546,Wake Up,The Doors,sgd_014509,Notorious B.I.G.
lyr_09546,Wake Up,The Doors,sgd_022180,Yoko Ono
lyr_09546,Wake Up,The Doors,sgd_036185,Hooverphonic
lyr_09546,Wake Up,The Doors,sgd_046626,Oingo Boingo
lyr_00096,My Body Is A Cage,Arcade Fire,sgd_015908,Peter Gabriel
lyr_00102,Speaking In Tongues,Arcade Fire,sgd_039191,Justin Bieber
lyr_00114,Into You,Funkadelic,sgd_022434,Zebrahead
lyr_00161,Atmosphere,Funkadelic,sgd_009857,Joy Division
lyr_00161,Atmosphere,Funkadelic,sgd_045454,New Order
lyr_00170,Red Hot Mama,Funkadelic,sgd_056473,Widespread Panic
lyr_00175,Shooting Star,Cream,sgd_015481,Pat Benatar
lyr_00175,Shooting Star,Cream,sgd_042104,Lou Reed
lyr_00175,Shooting Star,Cream,sgd_047202,Owl City
lyr_00175,Shooting Star,Cream,sgd_048881,Poison
lyr_07931,Shooting Star,Bob Dylan,sgd_015481,Pat Benatar
lyr_07931,Shooting Star,Bob Dylan,sgd_042104,Lou Reed
lyr_07931,Shooting Star,Bob Dylan,sgd_047202,Owl City
lyr_07931,Shooting Star,Bob Dylan,sgd_048881,Poison
lyr_12873,Shooting Star,Elton John,sgd_015481,Pat Benatar
lyr_12873,Shooting Star,Elton John,sgd_042104,Lou Reed
lyr_12873,Shooting Star,Elton John,sgd_047202,Owl City
lyr_12873,Shooting Star,Elton John,sgd_048881,Poison
lyr_00179,Spoonful,Cream,sgd_023733,Allman Brothers Band
lyr_02946,Spoonful,Eric Clapton,sgd_023733,Allman Brothers Band
lyr_08357,Spoonful,Etta James,sgd_023733,Allman Brothers Band
lyr_00180,Stormy Monday,Cream,sgd_023735,Allman Brothers Band
lyr_00180,Stormy Monday,Cream,sgd_033099,Freddie King
lyr_02791,Stormy Monday,Eric Clapton,sgd_023735,Allman Brothers Band
lyr_02791,Stormy Monday,Eric Clapton,sgd_033099,Freddie King
lyr_09148,Stormy Monday,Albert King,sgd_023735,Allman Brothers Band
lyr_09148,Stormy Monday,Albert King,sgd_033099,Freddie King
lyr_00181,Politician,Cream,sgd_034412,Grand Funk Railroad
lyr_02950,Politician,Eric Clapton,sgd_034412,Grand Funk Railroad
lyr_00182,Badge,Cream,sgd_005321,Eric Clapton
lyr_00182,Badge,Cream,sgd_033535,George Harrison
lyr_00323,Badge,George Harrison,sgd_005321,Eric Clapton
lyr_00323,Badge,George Harrison,sgd_033535,George Harrison
lyr_02891,Badge,Eric Clapton,sgd_005321,Eric Clapton
lyr_02891,Badge,Eric Clapton,sgd_033535,George Harrison
lyr_00183,Sweet Wine,Cream,sgd_004015,Deep Purple
lyr_02967,Sweet Wine,Eric Clapton,sgd_004015,Deep Purple
lyr_00188,Crossroads,Cream,sgd_005334,Eric Clapton
lyr_00188,Crossroads,Cream,sgd_014699,Offspring
lyr_00188,Crossroads,Cream,sgd_030323,Doors
lyr_00188,Crossroads,Cream,sgd_034279,Gordon Lightfoot
lyr_00188,Crossroads,Cream,sgd_041911,LL Cool J
lyr_00188,Crossroads,Cream,sgd_051164,Rush
lyr_00188,Crossroads,Cream,sgd_053835,Tracy Chapman
lyr_03171,Crossroads,Eric Clapton,sgd_005334,Eric Clapton
lyr_03171,Crossroads,Eric Clapton,sgd_014699,Offspring
lyr_03171,Crossroads,Eric Clapton,sgd_030323,Doors
lyr_03171,Crossroads,Eric Clapton,sgd_034279,Gordon Lightfoot
lyr_03171,Crossroads,Eric Clapton,sgd_041911,LL Cool J
lyr_03171,Crossroads,Eric Clapton,sgd_051164,Rush
lyr_03171,Crossroads,Eric Clapton,sgd_053835,Tracy Chapman
lyr_06160,Crossroads,Derek And The Dominos,sgd_005334,Eric Clapton
lyr_06160,Crossroads,Derek And The Dominos,sgd_014699,Offspring
lyr_06160,Crossroads,Derek And The Dominos,sgd_030323,Doors
lyr_06160,Crossroads,Derek And The Dominos,sgd_034279,Gordon Lightfoot
lyr_06160,Crossroads,Derek And The Dominos,sgd_041911,LL Cool J
lyr_06160,Crossroads,Derek And The Dominos,sgd_051164,Rush
lyr_06160,Crossroads,Derek And The Dominos,sgd_053835,Tracy Chapman
lyr_09599,Crossroads,The Doors,sgd_005334,Eric Clapton
lyr_09599,Crossroads,The Doors,sgd_014699,Offspring
lyr_09599,Crossroads,The Doors,sgd_030323,Doors
lyr_09599,Crossroads,The Doors,sgd_034279,Gordon Lightfoot
lyr_09599,Crossroads,The Doors,sgd_041911,LL Cool J
lyr_09599,Crossroads,The Doors,sgd_051164,Rush
