id_x,songName,artistName,id_y
lyr_00227,This Is Love,George Harrison,sgd_006645
lyr_00229,Give Me Love,George Harrison,sgd_033561
lyr_00231,Any Road,George Harrison,sgd_006606
lyr_00233,Got My Mind Set On You,George Harrison,sgd_033562
lyr_00234,When We Was Fab,George Harrison,sgd_033627
lyr_00235,All Those Years Ago,George Harrison,sgd_033530
lyr_00236,Cheer Down,George Harrison,sgd_033549
lyr_00237,Rising Sun,George Harrison,sgd_006635
lyr_00238,Blow Away,George Harrison,sgd_033544
lyr_00244,Horse To Water,George Harrison,sgd_033567
lyr_00247,So Sad,George Harrison,sgd_033608
lyr_00248,Far East Man,George Harrison,sgd_033558
lyr_00249,Maya Love,George Harrison,sgd_033587
lyr_00250,Dark Horse,George Harrison,sgd_006609
lyr_00251,Simply Shady,George Harrison,sgd_006638
lyr_00254,World Of Stone,George Harrison,sgd_033632
lyr_00255,You,George Harrison,sgd_006651
lyr_00258,Grey Cloudy Lies,George Harrison,sgd_033563
lyr_00263,Something,George Harrison,sgd_033612
lyr_00265,Just Like A Woman,George Harrison,sgd_006627
lyr_00268,While My Guitar Gently Weeps,George Harrison,sgd_033629
lyr_00270,Here Comes The Sun,George Harrison,sgd_033565
lyr_00276,Try Some Buy Some,George Harrison,sgd_033625
lyr_00277,The Light That Has Lighted The World,George Harrison,sgd_033620
lyr_00280,Who Can See It,George Harrison,sgd_033630
lyr_00283,Living In The Material World,George Harrison,sgd_033584
lyr_00285,Poor House,George Harrison,sgd_006634
lyr_00286,The Lord Loves The One,George Harrison,sgd_033621
lyr_00287,Just For Today,George Harrison,sgd_006626
lyr_00288,Life Itself,George Harrison,sgd_033583
lyr_00291,Learning How To Love You,George Harrison,sgd_033581
lyr_00293,Poor Little Girl,George Harrison,sgd_033598
lyr_00294,When Every Song Is Sung,George Harrison,sgd_006650
lyr_00296,Pisces Fish,George Harrison,sgd_033597
lyr_00300,Run So Far,George Harrison,sgd_033604
lyr_00301,Between The Devil And The Deep Blue Sea,George Harrison,sgd_033541
lyr_00302,Save The World,George Harrison,sgd_006636
lyr_00303,If You Belonged To Me,George Harrison,sgd_033576
lyr_00307,I Want To Tell You,George Harrison,sgd_006620
lyr_00308,Teardrops,George Harrison,sgd_033616
lyr_00309,Here Comes The Moon,George Harrison,sgd_006618
lyr_00310,Beautiful Girl,George Harrison,sgd_033539
lyr_00312,End Of The Line,George Harrison,sgd_006613
lyr_00314,For You Blue,George Harrison,sgd_006614
lyr_00317,Your Love Is Forever,George Harrison,sgd_033636
lyr_00318,Soft Touch,George Harrison,sgd_033610
lyr_00319,Baltimore Oriole,George Harrison,sgd_033537
lyr_00320,Fish On The Sand,George Harrison,sgd_033560
lyr_00321,Cloud 9,George Harrison,sgd_033551
lyr_00322,Not Guilty,George Harrison,sgd_033594
lyr_00323,Badge,George Harrison,sgd_033535
lyr_00324,My Back Pages,George Harrison,sgd_033590
lyr_00325,Breath Away From Heaven,George Harrison,sgd_033547
lyr_00327,Mystical One,George Harrison,sgd_033593
lyr_00328,Piggies,George Harrison,sgd_033596
lyr_00329,Think For Yourself,George Harrison,sgd_033622
lyr_00330,Old Brown Shoe,George Harrison,sgd_006632
lyr_00331,If I Needed Someone,George Harrison,sgd_033575
lyr_00332,7 Deadly Sins,George Harrison,sgd_006605
lyr_00333,Pure Smokey,George Harrison,sgd_033599
lyr_00334,His Name Is Legs,George Harrison,sgd_033566
lyr_00335,Taxman,George Harrison,sgd_033615
lyr_00336,Wake Up My Love,George Harrison,sgd_006648
lyr_00337,Never Get Over You,George Harrison,sgd_006629
lyr_00339,Cool Dry Place,George Harrison,sgd_006608
lyr_00340,This Song,George Harrison,sgd_006646
