id_x,id_y,TF
mil_0030,spa_04518,TRUE
mil_0044,spa_08766,TRUE
mil_0077,spa_00151,TRUE
mil_0134,spa_03465,TRUE
mil_0205,spa_02834,TRUE
mil_0211,spa_02178,TRUE
mil_0239,spa_06675,TRUE
mil_0310,spa_02302,TRUE
mil_0368,spa_01287,TRUE
mil_0412,spa_06463,TRUE
mil_0434,spa_01288,TRUE
mil_0440,spa_04169,TRUE
mil_0517,spa_00953,TRUE
mil_0517,spa_02525,TRUE
mil_0563,spa_01913,TRUE
mil_0594,spa_01474,TRUE
mil_0594,spa_01486,TRUE
mil_0594,spa_01487,TRUE
mil_0594,spa_04716,TRUE
mil_0594,spa_04727,TRUE
mil_0594,spa_06279,TRUE
mil_0594,spa_07862,TRUE
mil_0594,spa_07870,TRUE
mil_0594,spa_07871,TRUE
mil_0594,spa_09430,TRUE
mil_0599,spa_04892,TRUE
mil_0616,spa_09606,TRUE
mil_0628,spa_02118,TRUE
mil_0634,spa_08501,TRUE
mil_0652,spa_03604,TRUE
mil_0656,spa_09698,TRUE
mil_0659,spa_06792,TRUE
mil_0678,spa_00872,TRUE
mil_0694,spa_08533,TRUE
mil_0816,spa_05618,TRUE
mil_0822,spa_06243,TRUE
mil_0855,spa_01267,TRUE
mil_0855,spa_02831,TRUE
mil_0863,spa_03673,TRUE
mil_0914,spa_01473,TRUE
mil_0914,spa_06275,TRUE
mil_0914,spa_06276,TRUE
mil_0914,spa_06288,TRUE
mil_0914,spa_06293,TRUE
mil_0914,spa_06294,TRUE
mil_0914,spa_09438,TRUE
mil_0998,spa_09725,TRUE
mil_1037,spa_00475,TRUE
mil_1061,spa_03521,TRUE
mil_1089,spa_06674,TRUE
mil_1097,spa_01908,TRUE
mil_1140,spa_01289,TRUE
mil_1165,spa_08259,TRUE
mil_1244,spa_09235,TRUE
mil_1261,spa_07225,TRUE
mil_1261,spa_08793,TRUE
mil_1300,spa_05165,TRUE
mil_1311,spa_07174,TRUE
mil_1479,spa_02656,TRUE
mil_1518,spa_02045,TRUE
mil_1543,spa_02742,TRUE
mil_1641,spa_05466,TRUE
mil_1693,spa_07445,TRUE
mil_1751,spa_09797,TRUE
mil_1812,spa_01890,TRUE
mil_1928,spa_01456,TRUE
mil_1928,spa_09407,TRUE
mil_1930,spa_04585,TRUE
mil_1947,spa_03439,TRUE
mil_1947,spa_08274,TRUE
mil_1949,spa_04539,TRUE
mil_2015,spa_07748,TRUE
mil_2016,spa_00595,TRUE
