id_x,songName,artistName_x,id_y,artistName_y
sgd_000038,I Have A Dream,ABBA,mil_1479,Abba
sgd_055987,I Have A Dream,Westlife,mil_1479,Abba
sgd_000057,Mamma Mia,ABBA,mil_0709,Abba
sgd_000062,Midnight Special,ABBA,mil_0492,Alvin Lee
sgd_000062,Midnight Special,ABBA,mil_3952,Creedence Clearwater Revival
sgd_000077,Ring Ring,ABBA,mil_3375,Abba
sgd_000085,So Long,ABBA,mil_2198,Abba
sgd_015483,So Long,Pat Benatar,mil_2198,Abba
sgd_023730,So Long,Allman Brothers Band,mil_2198,Abba
sgd_032187,So Long,Everlast,mil_2198,Abba
sgd_032341,So Long,Face To Face,mil_2198,Abba
sgd_036902,So Long,Ingrid Michaelson,mil_2198,Abba
sgd_044950,So Long,Natalie Grant,mil_2198,Abba
sgd_000091,Take A Chance On Me,ABBA,mil_0440,Abba
sgd_005301,Take A Chance On Me,Erasure,mil_0440,Abba
sgd_000094,The Day Before You Came,ABBA,mil_2365,Abba
sgd_000104,Under Attack,ABBA,mil_3177,Abba
sgd_000115,Cecilia,Ace Of Base,mil_0233,Paul Desmond
sgd_015603,Cecilia,Paul Simon,mil_0233,Paul Desmond
sgd_035367,Cecilia,Hanson,mil_0233,Paul Desmond
sgd_000125,Who Am I,Ace Of Base,mil_3810,Natas
sgd_023125,Who Am I,Air Supply,mil_3810,Natas
sgd_000143,Someone Like You,Adele,mil_1648,Russell Watson Faye Tozer Steve Mac Chris Laws Fridrik Karlsson Steve Pearce Mae Mckenna London Session Orchestra
sgd_000738,Someone Like You,Andrea Bocelli,mil_1648,Russell Watson Faye Tozer Steve Mac Chris Laws Fridrik Karlsson Steve Pearce Mae Mckenna London Session Orchestra
sgd_011250,Someone Like You,Lea Salonga,mil_1648,Russell Watson Faye Tozer Steve Mac Chris Laws Fridrik Karlsson Steve Pearce Mae Mckenna London Session Orchestra
sgd_030432,Someone Like You,Doris Day,mil_1648,Russell Watson Faye Tozer Steve Mac Chris Laws Fridrik Karlsson Steve Pearce Mae Mckenna London Session Orchestra
sgd_038405,Someone Like You,John Waite,mil_1648,Russell Watson Faye Tozer Steve Mac Chris Laws Fridrik Karlsson Steve Pearce Mae Mckenna London Session Orchestra
sgd_041437,Someone Like You,Lenny Kravitz,mil_1648,Russell Watson Faye Tozer Steve Mac Chris Laws Fridrik Karlsson Steve Pearce Mae Mckenna London Session Orchestra
sgd_045494,Someone Like You,New Order,mil_1648,Russell Watson Faye Tozer Steve Mac Chris Laws Fridrik Karlsson Steve Pearce Mae Mckenna London Session Orchestra
sgd_054209,Someone Like You,UB40,mil_1648,Russell Watson Faye Tozer Steve Mac Chris Laws Fridrik Karlsson Steve Pearce Mae Mckenna London Session Orchestra
sgd_054846,Someone Like You,Vanessa Williams,mil_1648,Russell Watson Faye Tozer Steve Mac Chris Laws Fridrik Karlsson Steve Pearce Mae Mckenna London Session Orchestra
